ID,comid,main,hydroseq,outlet_comid,gages
4417,1735946,6073,150063998,1735934,
5031,1735940,6936,150064000,1736872,
4079,1735924,5605,150064003,1743084,
5184,1735918,7136,150064005,1735936,
5788,1735908,7973,150064007,1735908,
5025,1735890,6929,150064009,1735890,
4657,1735882,6391,150064010,1736852,
4242,1735872,5850,150064011,1736832,
5029,1735858,6933,150064012,1736844,
5960,1735846,8231,150064016,1735846,
5961,1735832,8232,150064020,1735832,
5036,1735828,6942,150064021,1736606,
5156,1735816,7105,150064024,1735816,
5791,1735776,7979,150064030,1735776,
5962,1735768,8234,150064032,1735768,
4723,1735766,6475,150064033,1735780,
5795,1735760,7985,150064034,1735760,
5172,1735736,7122,150064040,1735742,
5963,1735734,8236,150064041,1735734,
5796,1735728,7986,150064042,1735728,
